,repo,last_commit_date,added_database_date,added_zenodo_date,published_date,doi,added_database_week
0,https://gitlab.com/fduchate/predihood,2021-05-09,2021-05-15,2021-05-04,2021-05-04,https://doi.org/10.5281/zenodo.4737729,2021-05-10
1,https://gitlab.com/aroffringa/aoflagger,2023-10-06,2022-07-17,,2022-07-17,http://adsabs.harvard.edu/abs/2010MNRAS.405..155O,2022-07-11
2,https://gitlab.com/aroffringa/wsclean,2023-10-18,2022-07-17,,2022-07-17,https://ui.adsabs.harvard.edu/abs/2014MNRAS.444..606O,2022-07-11
3,https://gitlab.com/chjordan/sslf,2020-05-04,2022-07-17,,2022-07-17,https://ui.adsabs.harvard.edu/abs/2020PASA...37...26D,2022-07-11
4,https://gitlab.com/loic.cg.rossi/pymiedap,2023-05-18,2022-07-17,,2022-07-17,https://ui.adsabs.harvard.edu/abs/2018A%26A...616A.147R,2022-07-11
5,https://gitlab.com/programgreg/tagginglatencyestimator,2023-01-21,2023-01-14,,2023-01-14,https://doi.org/10.5281/zenodo.7503787,2023-01-09
6,https://gitlab.com/dsbowen/conditional-inference,2023-07-11,2022-07-23,2022-07-19,2022-07-19,https://doi.org/10.5281/zenodo.6859614,2022-07-18
7,https://gitlab.com/sybreton/apollinaire,2023-02-16,2023-07-02,,2023-07-02,https://ui.adsabs.harvard.edu/abs/2023arXiv230400087G,2023-06-26
8,https://gitlab.com/moerman1/fhi-cc4s,2023-06-09,2022-06-25,2022-06-17,2022-06-17,https://doi.org/10.5281/zenodo.6658117,2022-06-20
9,https://gitlab.com/picos-api/picos,2023-03-26,2022-02-19,2022-02-12,2022-02-12,https://doi.org/10.5281/zenodo.6053359,2022-02-14
10,https://gitlab.com/treangenlab/vulcan,2021-09-25,2022-12-10,,2022-12-10,,2022-12-05
11,https://gitlab.com/treangenlab/emu,2023-05-03,2022-07-18,,2022-07-18,,2022-07-18
12,https://gitlab.com/etienne.behar/menura,2023-04-06,2022-07-17,,2022-07-17,https://ui.adsabs.harvard.edu/abs/2021arXiv210812252B,2022-07-11
13,https://gitlab.com/ENKI-portal/ThermoCodegen,2023-06-30,2023-07-02,2023-06-30,2023-06-30,https://doi.org/10.5281/zenodo.8102054,2023-06-26
14,https://gitlab.com/ENKI-portal/ThermoEngine,2023-07-31,2022-09-03,,2022-09-03,https://ui.adsabs.harvard.edu/abs/2021GeoRL..4892884H,2022-08-29
15,https://gitlab.com/ENKI-portal/vaporock,2023-07-05,2022-09-03,,2022-09-03,https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..230J,2022-08-29
16,https://gitlab.com/mcfrith/last,2023-10-09,2022-07-18,,2022-07-18,,2022-07-18
17,https://gitlab.com/mcfrith/lamassemble,2023-07-27,2022-07-20,,2022-07-20,,2022-07-18
18,https://gitlab.com/mcfrith/paraclu,2021-02-04,2022-07-20,,2022-07-20,https://genome.cshlp.org/content/18/1/1.abstract,2022-07-18
19,https://gitlab.com/mcfrith/tantan,2022-10-10,2022-07-20,,2022-07-20,http://nar.oxfordjournals.org/content/39/4/e23.abstract,2022-07-18
20,https://gitlab.com/andreas.andrusch/paipline,2018-10-12,2022-07-20,,2022-07-20,https://academic.oup.com/bioinformatics/article/34/17/i715/5093217,2022-07-18
21,https://gitlab.com/BioimageInformaticsGroup/openphi,2023-03-09,2021-12-18,,2021-12-18,10.1093/BIOINFORMATICS/BTAB578,2021-12-13
22,https://gitlab.com/german.tischler/libmaus2,2022-12-10,2022-07-20,,2022-07-20,,2022-07-18
23,https://gitlab.com/german.tischler/biobambam2,2022-12-11,2022-07-20,,2022-07-20,https://scfbm.biomedcentral.com/articles/10.1186/1751-0473-9-13,2022-07-18
24,https://gitlab.com/ampere2/metalwalls,2021-06-18,2020-09-26,2020-09-21,2020-09-21,https://doi.org/10.5281/zenodo.4040665,2020-09-21
25,https://gitlab.com/andrea-tango/ficos,2021-08-02,2022-03-05,,2022-03-05,10.1371/JOURNAL.PCBI.1009410,2022-02-28
26,https://gitlab.com/mcfuman/SpectraPy,2022-10-24,2022-10-01,,2022-10-01,https://ui.adsabs.harvard.edu/abs/2022MNRAS.514.2902G,2022-09-26
27,https://gitlab.com/pythia-uq/pythia,2023-09-18,2023-09-16,2022-01-13,2022-01-13,https://doi.org/10.5281/zenodo.8329459,2023-09-11
